# VRPTW Fixed Benchmark Data
# N=20  INSTANCES=10000  Q=500  K=10  T=1000  SERVICE=10
#
# Node 0 = Depot, Nodes 1..20 = Customers
# Coordinates are in [0, 100], Time windows are in [0, 1000]
# TW1=narrow(100), TW2=medium(300), TW3=wide(500)
#
# INST	NODE	X	Y	DEMAND	TW1_A	TW1_B	TW2_A	TW2_B	TW3_A	TW3_B	SERVICE
0	0	11.80	68.89	0	0	1000	0	1000	0	1000	0
0	1	59.61	16.96	1	91	158	127	151	647	817	10
0	2	50.43	96.72	17	778	827	534	603	394	760	10
0	3	18.67	30.26	16	283	384	62	394	810	959	10
0	4	24.30	11.63	28	495	599	692	940	794	940	10
0	5	12.88	52.10	12	589	643	42	170	531	732	10
0	6	80.13	45.06	18	362	525	80	173	181	236	10
0	7	9.54	97.41	11	911	970	803	843	278	482	10
0	8	66.63	50.41	42	867	892	527	637	791	941	10
0	9	51.80	32.29	37	303	405	201	544	481	660	10
0	10	16.23	61.92	12	80	86	42	83	303	629	10
0	11	59.53	3.29	27	582	728	415	564	368	917	10
0	12	55.73	59.11	24	290	311	407	532	919	953	10
0	13	47.90	94.71	1	623	772	191	450	669	792	10
0	14	30.34	61.81	28	582	602	429	445	640	979	10
0	15	25.76	18.25	6	266	314	189	802	217	223	10
0	16	6.55	29.86	20	698	729	728	789	743	959	10
0	17	26.94	39.14	6	330	380	291	965	701	965	10
0	18	98.25	20.77	3	434	499	267	466	811	900	10
0	19	58.82	91.93	4	879	946	60	384	875	946	10
0	20	54.80	12.83	8	500	520	594	686	773	928	10
1	0	95.78	65.11	0	0	1000	0	1000	0	1000	0
1	1	44.24	68.90	16	909	947	603	846	182	947	10
1	2	70.51	44.17	22	855	871	195	341	621	626	10
1	3	91.68	33.60	24	210	420	271	472	189	706	10
1	4	9.05	4.76	33	514	528	781	893	721	893	10
1	5	64.68	29.31	22	147	231	563	608	383	906	10
1	6	78.68	38.69	8	879	967	814	967	302	420	10
1	7	50.08	33.60	21	842	887	390	835	359	417	10
1	8	89.32	37.82	27	726	743	380	587	671	938	10
1	9	71.65	76.64	12	724	743	514	578	318	972	10
1	10	6.40	2.98	13	815	890	559	890	560	858	10
1	11	90.71	97.08	11	362	442	495	784	410	682	10
1	12	45.64	49.38	26	433	583	252	804	697	946	10
1	13	21.45	66.27	22	474	571	859	907	922	924	10
1	14	42.43	80.27	28	871	943	577	943	559	943	10
1	15	72.29	51.20	31	308	382	555	830	494	548	10
1	16	70.64	84.12	24	637	871	582	672	422	786	10
1	17	60.97	98.77	28	519	532	424	472	840	950	10
1	18	31.77	95.86	14	183	214	211	242	883	927	10
1	19	21.06	96.28	10	371	393	469	481	563	890	10
1	20	7.98	33.85	17	490	530	297	578	700	905	10
2	0	11.94	88.10	0	0	1000	0	1000	0	1000	0
2	1	23.44	5.02	10	301	335	728	915	173	471	10
2	2	2.43	57.58	15	806	967	739	926	316	706	10
2	3	61.43	76.36	20	644	655	247	724	598	948	10
2	4	72.37	40.27	39	756	921	234	751	373	866	10
2	5	98.99	19.41	19	861	888	699	841	114	284	10
2	6	50.24	45.00	19	737	941	449	941	688	941	10
2	7	65.44	91.60	27	877	904	69	258	63	945	10
2	8	71.93	69.40	28	221	386	312	769	239	393	10
2	9	64.87	86.75	24	700	817	127	440	706	946	10
2	10	29.12	18.28	1	309	466	359	895	623	927	10
2	11	34.32	5.64	16	762	766	861	913	626	913	10
2	12	58.65	45.64	6	260	430	482	718	569	612	10
2	13	1.79	65.04	16	114	124	480	692	815	973	10
2	14	59.55	62.12	6	99	222	583	682	827	944	10
2	15	27.34	99.42	16	282	370	762	827	621	824	10
2	16	33.60	42.15	1	121	155	201	633	551	948	10
2	17	88.33	30.49	6	718	838	817	903	413	736	10
2	18	71.08	83.12	22	598	641	810	939	332	939	10
2	19	91.58	17.47	1	645	669	478	545	619	892	10
2	20	9.39	90.50	19	663	708	834	995	381	431	10
3	0	57.62	98.82	0	0	1000	0	1000	0	1000	0
3	1	29.61	52.21	32	196	258	789	835	125	133	10
3	2	32.70	9.55	9	533	544	515	858	490	653	10
3	3	77.74	4.03	1	637	792	466	603	869	902	10
3	4	92.68	70.06	11	584	728	343	422	603	953	10
3	5	75.30	61.50	6	693	810	339	571	564	957	10
3	6	99.35	79.63	2	520	594	741	953	535	953	10
3	7	56.87	20.26	14	406	458	190	308	896	920	10
3	8	77.59	58.17	24	797	831	465	488	537	853	10
3	9	4.31	88.68	32	468	574	109	260	265	492	10
3	10	15.89	78.22	11	157	355	253	417	874	952	10
3	11	14.37	40.65	32	630	647	379	404	86	133	10
3	12	25.32	27.84	19	428	630	746	787	577	595	10
3	13	31.34	59.12	15	424	469	775	951	813	951	10
3	14	3.69	74.50	5	578	638	885	939	745	896	10
3	15	46.33	91.42	4	765	824	166	373	155	275	10
3	16	11.63	53.35	19	848	866	170	542	158	293	10
3	17	42.55	61.54	12	68	127	909	945	946	958	10
3	18	48.17	8.48	33	631	637	789	871	741	908	10
3	19	35.11	6.48	19	548	560	227	334	355	785	10
3	20	61.80	97.53	2	559	585	355	746	218	297	10
4	0	85.04	58.96	0	0	1000	0	1000	0	1000	0
4	1	56.11	30.37	7	312	416	795	840	364	832	10
4	2	55.83	16.58	19	643	711	775	918	410	514	10
4	3	93.46	48.08	28	863	903	411	902	445	985	10
4	4	34.33	46.74	6	245	264	665	946	794	946	10
4	5	95.80	6.75	10	327	414	625	792	243	461	10
4	6	85.03	11.31	11	482	578	789	951	402	569	10
4	7	90.29	97.39	3	342	359	475	732	116	503	10
4	8	48.95	44.05	20	413	607	329	391	918	959	10
4	9	61.93	98.75	30	805	853	611	843	889	952	10
4	10	96.57	16.69	24	954	955	783	862	451	955	10
4	11	46.98	84.53	10	107	367	296	325	491	662	10
4	12	36.67	22.82	15	410	608	547	665	377	769	10
4	13	24.04	62.41	10	174	186	530	859	142	355	10
4	14	7.58	20.93	17	544	565	771	866	852	912	10
4	15	96.66	95.80	27	703	747	694	960	736	960	10
4	16	47.13	77.94	1	440	593	203	370	259	437	10
4	17	73.48	40.10	10	755	780	456	512	690	976	10
4	18	99.62	44.84	16	523	562	114	415	694	978	10
4	19	33.62	43.08	22	490	668	479	540	298	569	10
4	20	4.30	17.99	2	532	689	905	908	540	908	10
5	0	41.07	47.16	0	0	1000	0	1000	0	1000	0
5	1	35.30	39.77	3	212	243	720	989	211	565	10
5	2	29.52	51.32	26	952	973	775	986	207	335	10
5	3	48.17	49.92	18	988	991	253	575	185	852	10
5	4	63.89	26.44	33	894	968	615	684	907	968	10
5	5	5.54	52.17	4	575	704	175	377	780	854	10
5	6	87.12	51.43	17	456	456	556	650	567	646	10
5	7	47.55	34.29	31	615	629	754	812	672	928	10
5	8	0.82	16.62	22	172	295	939	948	897	948	10
5	9	55.38	88.84	32	575	619	141	337	525	954	10
5	10	14.81	20.50	25	611	674	866	961	493	961	10
5	11	98.53	60.18	37	795	821	715	786	510	557	10
5	12	90.24	0.37	3	192	244	920	931	776	931	10
5	13	34.79	27.59	16	905	978	634	767	944	978	10
5	14	59.40	57.51	24	777	797	533	645	533	745	10
5	15	67.95	96.46	13	670	782	781	823	168	473	10
5	16	39.80	82.67	17	834	898	179	184	181	611	10
5	17	70.38	81.75	16	458	543	304	440	601	953	10
5	18	56.61	77.07	24	78	357	373	674	768	849	10
5	19	30.19	39.46	8	228	286	54	297	155	533	10
5	20	22.51	10.07	4	882	918	787	829	751	957	10
6	0	17.90	49.75	0	0	1000	0	1000	0	1000	0
6	1	47.66	34.47	16	286	381	790	965	150	965	10
6	2	40.50	70.25	21	446	481	755	792	680	860	10
6	3	26.41	71.63	24	840	935	387	796	82	424	10
6	4	47.17	1.94	22	421	469	659	891	839	942	10
6	5	45.59	30.54	8	314	452	428	473	681	965	10
6	6	82.57	4.25	24	709	793	166	534	911	919	10
6	7	2.64	33.48	17	265	447	827	862	895	976	10
6	8	65.10	73.23	1	585	607	499	755	822	946	10
6	9	64.07	76.81	27	269	377	818	945	659	945	10
6	10	66.72	25.82	17	737	740	747	944	583	665	10
6	11	85.23	27.37	7	767	902	922	928	239	617	10
6	12	1.22	92.69	18	585	727	636	945	552	870	10
6	13	13.23	69.01	1	598	718	364	578	592	979	10
6	14	18.99	48.92	7	533	735	485	725	681	892	10
6	15	60.52	49.76	12	941	956	341	369	453	956	10
6	16	87.51	15.61	20	771	851	698	921	305	714	10
6	17	22.85	68.28	8	196	241	169	498	124	646	10
6	18	78.65	41.50	3	424	520	635	793	439	937	10
6	19	84.88	80.86	6	99	241	633	737	772	925	10
6	20	57.93	2.05	9	840	936	902	936	316	489	10
7	0	58.39	3.38	0	0	1000	0	1000	0	1000	0
7	1	85.18	98.26	8	330	352	616	663	173	540	10
7	2	22.47	3.02	15	447	529	585	641	849	963	10
7	3	93.96	47.66	18	160	305	181	271	493	814	10
7	4	90.37	8.57	14	226	233	561	819	659	966	10
7	5	86.15	26.94	17	349	435	635	890	225	897	10
7	6	10.66	24.30	17	538	605	308	515	157	298	10
7	7	16.33	67.07	16	722	768	147	854	234	922	10
7	8	70.22	49.84	12	164	184	565	838	71	205	10
7	9	40.68	42.92	3	94	117	402	877	138	329	10
7	10	40.60	75.89	15	367	438	917	924	463	513	10
7	11	27.38	97.35	12	652	668	364	745	799	900	10
7	12	30.26	15.06	12	233	246	438	585	892	968	10
7	13	59.70	63.34	21	535	613	286	838	533	837	10
7	14	27.01	26.01	13	790	816	912	960	230	394	10
7	15	42.51	8.69	20	436	545	569	982	462	719	10
7	16	35.15	4.67	17	194	201	499	975	457	975	10
7	17	25.40	57.25	6	404	606	351	594	99	177	10
7	18	26.53	84.77	11	301	310	150	490	397	623	10
7	19	65.81	44.15	15	691	730	954	957	848	957	10
7	20	46.36	71.28	4	503	640	604	930	379	522	10
8	0	35.21	59.82	0	0	1000	0	1000	0	1000	0
8	1	81.91	65.11	5	724	861	160	589	229	384	10
8	2	81.18	31.56	21	67	84	785	917	348	388	10
8	3	92.77	73.80	19	588	600	386	939	417	939	10
8	4	98.18	32.44	23	232	242	609	670	206	217	10
8	5	7.20	16.67	17	745	850	452	672	265	947	10
